卡牌ID,卡牌类型,暴露度,子类,卡名,外星观测/场景描述,提问或归属,备注
C-E01,事件卡,绿,家务,袜子归位失败,雄性样本完成足部织物剥离后将其释放于洗衣篮半径三十厘米的引力盲区物体保持静止。雌性样本随后进入现场进行二次搬运并发出特定频率的声明。,【问丈夫】她又因为你袜子没扔进篮子念叨你时你真实的反应是？,丈夫为样本
C-E02,事件卡,黄,家务,家务投入比失衡,雌性样本统计单位周期内双方在居所维护任务上的能量投入并得出显著失衡结论将数据当面呈递。,【问丈夫】她认真跟你算这周家务你做得太少时你真实的反应是？,丈夫为样本
C-E03,事件卡,黄,家务,手洗执念,雌性样本拒绝将贴身织物投入自动清洁装置坚持以手工方式逐件处理。雄性样本提议使用机器遭到否决。,【问妻子】他说袜子内裤丢洗衣机就行别那么累时你真实的反应是？,妻子为样本
C-E04,事件卡,绿,家务,切菜下手,烹饪时段雄性样本被指派执行蔬菜切割等前置工序主厨权限保留在雌性样本处。雄性样本切出的块状物大小不一。,【问丈夫】她嫌你菜切得乱把活儿收回去自己做时你真实的反应是？,丈夫为样本
C-E05,事件卡,黄,家务,洁净区被入侵,雄性样本将户外接触过的物体外套快递箱手机带入居所核心洁净区。雌性样本的应激水平急剧上升。,【问妻子】他把外面带回来的东西随手放到床上沙发上时你真实的反应是？,妻子为样本
C-E06,事件卡,绿,家务·幽默,卫生标准代差,雄性样本认为当前居所洁净度处于完全可接受区间雌性样本认为处于亟需干预区间。两套标准在同一空间内并存。,【问任一方】对方觉得家里已经很干净或已经很乱而你完全不这么认为时你真实的反应是？,双方皆可为样本
C-E07,事件卡,黄,家务,突击大扫除征召,雌性样本在某时刻启动全居所深度清洁程序要求雄性样本立即中止当前活动加入。,【问丈夫】你正玩到一半她突然喊你一起大扫除时你真实的反应是？,丈夫为样本
C-E08,事件卡,绿,家务,维修高光时刻,居所内某装置发生故障。雄性样本在此刻表现出罕见的高主动性调取工具独立完成修复神情专注。,【问丈夫】家里东西坏了你正好能修她在旁边看着时你真实的反应是？,丈夫为样本
C-E09,事件卡,黄,家务,干不完的活,雌性样本在完成既定清洁任务后持续发现新的待处理点居所维护任务呈现无终点特征。雄性样本建议歇一会。,【问妻子】你忙了一下午还在收拾他让你别弄了歇会儿时你真实的反应是？,妻子为样本
C-E10,事件卡,黄,家务,谁该先动手,某项家务长期处于双方都看见但都未启动状态最终由一方在情绪临界点启动。,【问任一方】有件家务你俩都看见了就是都没动手最后你忍不住做了时你真实的反应是？,双方皆可为样本
C-E11,事件卡,黄,工作,研究进程受挫,雌性样本的研究进程遭遇阻滞数据异常论文被拒导师否定返回居所时携带低气压场。,【问妻子】你读博不顺被导师批或论文被拒回到家时你真实的反应是？,妻子为样本
C-E12,事件卡,黄,工作,毕业时间线焦虑,雌性样本对学业完成时间线产生不确定性预期该不确定性在夜间显著增强。,【问妻子】一想到不知道哪天能毕业前途不明朗时你真实的反应是？,妻子为样本
C-E13,事件卡,绿,工作,下班只想瘫,雄性样本结束群体劳作返回居所进入想瘫一会儿状态与雌性样本期待的陪我说说话状态存在错位。,【问丈夫】你上了一天班累瘫了她想跟你聊聊时你真实的反应是？,丈夫为样本
C-E14,事件卡,黄,工作,她比我懂,在某专业领域雌性样本的知识深度超过雄性样本。讨论该话题时知识权威发生转移。,【问丈夫】聊到她研究的领域明显她比你懂得多时你真实的反应是？,丈夫为样本
C-E15,事件卡,绿,工作,一个人等他回家,雄性样本因群体劳作延迟返巢雌性样本独自在居所度过晚间时段狗作为唯一陪伴。,【问妻子】他加班很晚才回你一个人在家等时你真实的反应是？,妻子为样本
C-E16,事件卡,黄,工作,被问什么时候工作,外部个体亲戚或熟人向雌性样本询问就业时间表问题携带隐含评判。,【问妻子】有人问你读这么多书什么时候才工作赚钱时你真实的反应是？,妻子为样本
C-E17,事件卡,黄,工作,谁在养家,雄性样本提供主要经济资源雌性样本暂处于学业投入期无收入。该结构偶尔在对话中被无意触及。,【问任一方】聊到现在主要靠他赚钱这件事时你心里真实的感受是？,双方皆可为样本·近红
C-E18,事件卡,绿,宠物,雨天遛狗协商,雪纳瑞混血样本发出外出排泄需求信号。两名成年样本就谁执行遛狗任务进行非正式协商时值雨天。,【问任一方】下雨天狗要出去你俩都不太想动时你真实的反应是？,双方皆可为样本
C-E19,事件卡,绿,宠物·幽默,狗子的解构作业,雪纳瑞样本在无监督时段对居所内某物体鞋纸巾沙发角实施了解构作业现场遗留证据。,【问任一方】狗把家里东西咬坏了一脸无辜看着你时你真实的反应是？,双方皆可为样本
C-E20,事件卡,绿,宠物,狗更喜欢谁,雪纳瑞样本在两名成年样本间表现出依附偏好该偏好的归属偶尔成为玩笑性争论焦点。,【问丈夫】你俩开玩笑争狗到底更喜欢谁时你真实的反应是？,丈夫为样本
C-E21,事件卡,黄,宠物,爱它又嫌脏,雪纳瑞样本携带户外微粒进入洁净区并尝试登床。雌性样本在爱它与怕脏两套程序间产生冲突。,【问妻子】狗想上床或沾了一身土扑过来你又爱又嫌脏时你真实的反应是？,妻子为样本
C-E22,事件卡,绿,宠物,狗生病了,雪纳瑞样本出现健康异常信号两名成年样本的关注度同步飙升分歧暂时归零。,【问任一方】狗突然生病或不舒服时你真实的反应是？,双方皆可为样本
C-E23,事件卡,绿,宠物,把狗当孩子,两名成年样本对雪纳瑞样本使用拟亲属称谓并围绕其展开大量非必要对话。,【问任一方】你俩对着狗用儿子宝宝聊个不停时你心里其实是？,双方皆可为样本
C-E24,事件卡,红,性生活,信号未被接收,雄性样本释放亲密接触意愿信号雌性样本因疲惫时间或状态因素回应为改天。信号未被接收。,【问丈夫】你想亲近她说太累了或改天吧时你真实的反应是？,丈夫为样本·掏心窝
C-E25,事件卡,红,性生活,得先洗澡,亲密程序启动前雌性样本坚持执行完整清洁流程该流程的时间成本有时改变了氛围曲线。,【问妻子】他兴致来了但你觉得得先去洗澡才行时你真实的反应是？,妻子为样本·掏心窝
C-E26,事件卡,黄,性生活,想要的频率不一样,两名样本对亲密接触的理想频率存在不一致的内部设定值该差值很少被直接陈述。,【问任一方】你们俩想要的多久一次其实不太一样但很少说出口这件事让你心里真实的感受是？,双方皆可为样本
C-E27,事件卡,红,性生活,想被温柔对待,雌性样本在亲密情境中对过程的温度赋予高权重对仓促或例行化高度敏感。,【问妻子】那种时刻你最希望他怎么对你如果他太快太敷衍你真实的感受是？,妻子为样本·掏心窝
C-E28,事件卡,黄,性生活,不敢主动了,雄性样本因预期被拒逐渐降低亲密意愿的表达频率转为被动等待。,【问丈夫】因为怕被拒绝你慢慢不太敢主动了这时候你心里其实是？,丈夫为样本
C-E29,事件卡,黄,性生活,之后抱不抱,亲密程序结束后存在一段是否继续身体接触的窗口两名样本对该窗口的需求未必同步。,【问任一方】结束之后你其实更想抱一会儿还是各自睡这件事你说出来过吗你心里是？,双方皆可为样本
C-E30,事件卡,绿,性生活·幽默,狗在门口看,亲密程序进行中雪纳瑞样本于卧室门口保持注视姿态对两名成年样本的专注度造成干扰。,【问任一方】正亲热着发现狗在旁边盯着看时你真实的反应是？,双方皆可为样本
C-E31,事件卡,红,家庭,父母劝信教,雄性样本的上代个体现从事宗教传播持续邀请两名样本加入其信仰体系并提及奉献。雄性样本处理这些信息的方式偏向回避。,【问丈夫】你爸妈又劝你们信教或奉献时你真实的反应是？,丈夫为样本·掏心窝
C-E32,事件卡,黄,家庭,面对公婆传教,雌性样本面对配偶上代个体的信仰邀请在尊重与不认同之间寻找回应策略。,【问妻子】公婆跟你传教希望你也信时你真实的反应是？,妻子为样本
C-E33,事件卡,黄,家庭,父母从小不太管我,雄性样本的上代个体在其成长期投入的关注资源低于常态。雄性样本对此形成了某种已适应的叙述。,【问丈夫】聊到你爸妈从小对你不太上心这件事时你心里真实的感受是？,丈夫为样本·近红
C-E34,事件卡,黄,家庭,妈妈喋喋不休,雌性样本的母系个体通过远程通讯高频输出生活指导信息单次通话信息密度高且重复。,【问妻子】你妈又在电话里不停念叨管东管西时你真实的反应是？,妻子为样本
C-E35,事件卡,黄,家庭,妈妈插手小家,雌性样本的母系个体对其婚姻生活的具体事务提出介入性建议边界感模糊。,【问妻子】你妈插手你们俩的事指挥你该怎么过日子时你真实的反应是？,妻子为样本
C-E36,事件卡,绿,家庭,陪听岳母,雄性样本在场时岳母个体启动长时间单向输出。雄性样本的参与度与逃逸意愿同时上升。,【问丈夫】岳母在那儿喋喋不休你也得陪着听时你真实的反应是？,丈夫为样本
C-E37,事件卡,黄,家庭,两家差太多,两名样本的原生家庭在经济形态经商与务农及价值取向宗教与务实上存在显著差异偶尔在对话中浮现。,【问任一方】意识到我们俩家庭背景差挺多的时候你心里真实的感受是？,双方皆可为样本
C-E38,事件卡,红,家庭,怕配不上,雌性样本因原生家庭背景差异在某些时刻产生是否足够匹配的内部疑问。,【问妻子】偶尔觉得自己家境或出身配不上他时你心里真实的感受是？,妻子为样本·掏心窝·触及自卑
C-E39,事件卡,绿,家庭,过年回谁家,周期性节庆临近两名样本就返回哪一方原生居所进行协调双方母系个体均有期待。,【问任一方】商量过年回谁家两边老人都盼着时你真实的反应是？,双方皆可为样本
C-E40,事件卡,绿,日常·幽默,又开新坑,雄性样本引入新的桌面游戏单元其规则学习成本与所占居所空间引起雌性样本注意。,【问丈夫】你又买了个新桌游她问你还要买多少时你真实的反应是？,丈夫为样本
C-E41,事件卡,绿,日常·幽默,被拉去玩桌游,雄性样本邀请雌性样本参与桌面游戏雌性样本的兴趣水平与雄性样本的期待存在落差。,【问妻子】他兴致勃勃拉你玩桌游你其实没那么想玩时你真实的反应是？,妻子为样本
C-E42,事件卡,绿,日常·幽默,关键局被喊,雄性样本处于电子游戏关键节点雌性样本在此刻发起需要即时响应的请求。,【问丈夫】你打游戏正到关键她喊你帮忙时你真实的反应是？,丈夫为样本
C-E43,事件卡,绿,日常·幽默,观星之夜,雄性样本提议夜间外出观测天体要求雌性样本在低温与困倦条件下配合。,【问任一方】他半夜拉你出去看星星外面又冷你又困时你真实的反应是？,双方皆可为样本
C-E44,事件卡,绿,日常·幽默,尤克里里循环,雄性样本在居所内重复练习同一段弦乐器旋律循环次数较高。雌性样本的耐受度被持续测试。,【问妻子】他抱着尤克里里翻来覆去弹同一段时你真实的反应是？,妻子为样本
C-E45,事件卡,绿,日常·幽默,理工男的浪漫,在需要情感表达的场合雄性样本倾向于以逻辑实用或解决问题的方式回应与雌性样本期待的回应类型不一致。,【问丈夫】她想要你哄哄或说点甜的你却开始讲道理给方案时你真实的反应是？,丈夫为样本
C-E46,事件卡,绿,日常·幽默,等一下症候群,在非兴趣类任务上雄性样本的启动能量持续偏低常以等一下待会儿延迟。,【问妻子】你叫他做点啥他一直等一下就是不动时你真实的反应是？,妻子为样本
C-E47,事件卡,绿,日常·幽默,差点忘了纪念日,某具有纪念意义的日期临近两名样本中至少一方对该日期的记忆出现偏差风险。,【问任一方】发现一方差点忘了纪念日时你真实的反应是？,双方皆可为样本
C-E48,事件卡,红,内心,情绪上来了,雌性样本的情绪幅度在短时间内出现较大波动波动有时超出可被外部清晰归因的范围。,【问妻子】你情绪突然上来自己也说不太清为什么时你最希望他怎么做你心里是？,妻子为样本·掏心窝
C-E49,事件卡,红,内心,面对她的情绪,雌性样本进入高情绪状态时雄性样本需在讲道理哄回避陪着之间做出选择历史命中率不稳定。,【问丈夫】她情绪上来哭了或者发火时你真实的第一反应是？,丈夫为样本·掏心窝
C-E50,事件卡,红,内心,还会自卑吗,雌性样本早期存在的低自我评价倾向在多数时间已缓解但在特定刺激下仍可能短暂复现。,【问妻子】现在偶尔还会冒出我不够好的念头吗那一刻你心里是？,妻子为样本·掏心窝
C-E51,事件卡,红,内心,我够不够好,雄性样本在外部表现稳定内部偶尔运行我是不是一个好丈夫的自检程序该程序很少对外输出。,【问丈夫】你一个人的时候会不会怀疑我是不是不够顾家不够好那时你心里是？,丈夫为样本·掏心窝
C-E52,事件卡,红,内心,没说出口的需要,两名样本各自存在长期未向对方完整表达的需求原因包括习惯面子或怕引发冲突。,【问任一方】有没有一件你一直想要对方做却始终没说出口的事此刻想到它你心里是？,双方皆可为样本·掏心窝
C-E53,事件卡,红,内心,被爱的确认,雌性样本周期性需要来自配偶的我仍被选择被珍视信号该需求在缺乏信号时放大。,【问妻子】你最需要他用什么方式让你确认我是被爱的最近收到过吗那时你心里是？,妻子为样本·掏心窝
C-E54,事件卡,红,内心,如果重来,抛开摩擦分工原生家庭与日常消耗两名样本对是否仍会选择对方存在一个未常被言说的答案。,【问任一方】如果时间倒回你还会选择和对方在一起吗为什么此刻你心里是？,双方皆可为样本·温暖向掏心窝
