卡牌ID,卡牌类型,暴露度,子类,卡名,外星观测/场景描述,提问或归属,备注
L-E01,事件卡,绿,日常·幽默,觅食路线严重拥堵,成年样本驾驶金属外壳前往觅食地，前方同类外壳排成长龙，纹丝不动。后方持续传来不耐烦的鸣笛。成年样本的手指开始有节奏地敲击方向盘。,堵车堵到快迟到时，你真实的反应是？,
L-E02,事件卡,绿,日常·幽默,圆形豆类捕捉失败,成年样本试图用两根细棍（筷子）夹起一颗圆形豆类，连续失败三次。豆子每次都在即将被捕获的瞬间滚走，仿佛拥有自我意识。,夹豆子/花生连续夹飞时，你真实的反应是？,纯搞笑调节卡
L-E03,事件卡,绿,日常·幽默,遥控器神秘失踪,群体准备共同观看发光屏幕，但控制装置（遥控器）凭空消失。全体样本启动地毯式搜索，最终在沙发缝隙的第三层发现了它。,全家找遥控器找了十分钟时，你真实的反应是？,纯搞笑调节卡
L-E04,事件卡,绿,日常·幽默,组装家具说明书挑战,成年样本面对一堆零件和一张图纸，已耗时四十分钟。剩余三个螺丝不知应安装于何处，而柜子似乎已经站立。,家具装到最后多出几个螺丝时，你真实的反应是？,纯搞笑调节卡
L-E05,事件卡,绿,日常·幽默,WiFi信号中断,居所内的无形信号网络突然消失。所有样本的发光设备同时失效。成年样本起身走向那个一闪一闪的黑盒子，准备执行古老的仪式：拔掉再插上。,家里突然断网、全家都急时，你真实的反应是？,纯搞笑调节卡
L-E06,事件卡,绿,日常·幽默,幼崽的十万个为什么,幼年样本启动连续提问模式：「天为什么是蓝的？」「鱼会不会口渴？」「你和爸爸谁先死？」问题密度极高，且逻辑链条不可预测。,孩子连珠炮问奇怪问题、问到你答不上来时，你真实的反应是？,
L-E07,事件卡,绿,日常·幽默,早餐口味的重大分歧,幼年样本昨日明确要求今日早餐为A，今晨却坚称从未说过，要求改为B。证据确凿但样本拒不承认，谈判陷入僵局。,孩子出尔反尔、早餐说好的又不要了时，你真实的反应是？,
L-E08,事件卡,绿,日常·幽默,样本拒绝穿外套,户外温度偏低，成年样本建议增加保暖层。幼年样本坚定拒绝，宣称「我不冷」，尽管其嘴唇颜色已发生变化。这是一场关于体感的哲学辩论。,孩子大冷天死活不肯穿外套时，你真实的反应是？,
L-E09,事件卡,黄,日常·真实,精密作业期遭遇噪音轰炸,成年样本正盯着发光屏幕处理重要文件，幼年样本在旁以每分钟三次的频率发问：「妈妈你看我画的！」「这个字怎么写？」「你怎么不理我？」声波密集，无间隙。,你正忙、孩子一直在旁边求关注时，你真实的反应是？,
L-E10,事件卡,黄,日常·真实,液态营养品大规模泼洒,幼年样本端着一整杯牛奶走过浅色沙发，姿态自信。零点三秒后杯体倾覆，白色液体扩散成不规则版图。幼年样本抬头，与成年样本四目相对。,孩子把整杯牛奶打翻在沙发上、惊恐看着你时，你真实的反应是？,
L-E11,事件卡,黄,日常·真实,睡眠程序启动失败,已达约定休眠时刻，幼年样本仍在翻滚、要求再讲一个故事、再喝一口水、再上一次厕所。这是今晚第四次。成年样本的手搭在灯的开关上。,到点了孩子各种理由不肯睡、你已经困得不行时，你真实的反应是？,
L-E12,事件卡,黄,日常·真实,晨间出巢流程崩溃,距规定出发时间还有五分钟。幼年样本一只脚穿着袜子，另一只不见踪影；早餐吃了一半；书包尚未合上。成年样本已第三次报出剩余时间。,早上快迟到、孩子还在磨蹭找袜子时，你真实的反应是？,
L-E13,事件卡,黄,日常·真实,作业拉锯战,幼年样本面对一页练习题，已坐在桌前一小时。期间起身六次：喝水、上厕所、削铅笔、找橡皮。实际完成进度：两行。,孩子写作业各种磨蹭、一小时写两行时，你真实的反应是？,
L-E14,事件卡,黄,日常·真实,房间状态熵增,幼年样本的休息舱（房间）地面已无法目视到原本的颜色，玩具、衣物、纸片均匀覆盖。成年样本推门，停在门口，深吸一口气。,看到孩子房间乱得下不去脚时，你真实的反应是？,
L-E15,事件卡,黄,日常·真实,挑食抗议行动,餐盘中的绿色植物性食物被幼年样本用筷子小心地推到盘子边缘，形成一道隔离带。样本宣称已经吃饱，但对旁边的肉类仍有兴趣。,孩子把青菜全挑出来、说吃饱了却还想吃肉时，你真实的反应是？,
L-E16,事件卡,黄,日常·真实,公共场合的样本失控,在大型物资交换中心（超市），幼年样本因未获得糖类制品，启动高分贝声音发射，并伴随肢体瘫软。周围其他成年样本投来观测目光。,孩子在超市为零食当众大哭大闹、周围人都看时，你真实的反应是？,
L-E17,事件卡,黄,日常·真实,屏幕分离焦虑,动画片/游戏时间已到，成年样本发出停止信号。幼年样本以「就看完这一集」「这局还没打完」作为延迟策略，眼睛始终未离开屏幕。,孩子看屏幕超时、叫了好几遍不停时，你真实的反应是？,
L-E18,事件卡,黄,日常·真实,承诺的兑现压力,成年样本曾在某个疲惫的时刻随口答应了周末的某项活动。如今幼年样本带着精确到分钟的记忆前来兑现，而成年样本只想躺平。,你随口答应孩子的事、他记得清清楚楚来兑现、你却累得不想动时，你真实的反应是？,
L-E19,事件卡,黄,日常·真实,样本间的领土冲突,两个幼年样本因一件玩具的所有权爆发武装冲突，双方均坚称自己是受害者，并同时向成年样本提起申诉，要求裁决。,两个孩子抢玩具打起来、都来告状时，你真实的反应是？,多孩家庭适用
