卡牌ID,卡牌类型,暴露度,子类,卡名,外星观测/场景描述,提问或归属,备注
H-E01,事件卡,绿,日常·幽默,群聊信息洪峰,成年样本打开社交通讯平台的某个群组，发现有四百七十三条未读信息。翻阅后发现核心有效信息为零，内容主要由「哈哈哈」「好的」「收到」构成。,班级群/家长群刷屏几百条、翻完什么有用的都没有时，你真实的反应是？,
H-E02,事件卡,绿,日常·幽默,导航的意外礼物,成年样本信任地图程序导航前往目的地，程序在关键路口宣告重新规划路线——比原路多出十五分钟。成年样本已无法原路返回。,导航快到地方时突然改路带你绕大弯、到了才发现时，你真实的反应是？,
H-E03,事件卡,绿,日常·幽默,远程会议静音事故,成年样本参与视频会议，已正式发言约五分钟，被他人告知麦克风处于静音状态。全程表情和嘴型可见，音频信号为零。,视频会议说了半天才发现自己静音了时，你真实的反应是？,
H-E04,事件卡,绿,日常·幽默,外卖成分偏差报告,成年样本等待食物投递员到达。打开餐盒后发现内容与点单存在显著差异。联系客服，系统提示排队等候时间为二十分钟。,外卖送来发现少了菜或者送错了时，你真实的反应是？,
H-E05,事件卡,绿,日常·幽默,多层车库迷向事件,成年样本购物归来进入多层车库，在二层和三层之间往返三次，按遥控器确认楼层，最终在四层角落找到金属外壳。全程约二十分钟。,在停车场找不到自己停哪了、原地转了好几圈时，你真实的反应是？,
H-E06,事件卡,绿,日常·幽默,幼崽反向科普,成年样本尝试操作新型电子设备，卡在某步骤超过五分钟。幼年样本拿过设备，三步完成操作，随后以一种温和但无法掩盖的口吻问：「这有什么不会的吗？」,孩子三两下帮你搞定你搞不定的手机/电脑操作、并表现出不可思议时，你真实的反应是？,
H-E07,事件卡,绿,日常·幽默,闹钟连续豁免事件,成年样本已连续按下暂停键七次，每次预设的「再睡五分钟」均以相同方式结束。外部光线与时间均已超出合理范围。,明明有事要早起、却不停按掉闹钟、睁眼发现已经迟了时，你真实的反应是？,
H-E08,事件卡,绿,日常·幽默,重要文件消失事件,成年样本确信某份重要文件（发票/证件/钥匙备用）存放在某固定位置，现在需要用到，但该位置已空。翻遍全屋后排除所有合理存放地点，物品仍未出现。,你确定放在某处的重要东西不见了、而你是最后一个碰它的人时，你真实的反应是？,
H-E09,事件卡,黄,日常·真实,量化评估数据低于基准线,幼年样本递上一张印有数字的纸（试卷），数值明显低于成年样本的心理预期。纸张交接的瞬间，房间内气压骤降，成年样本的眉部肌肉出现细微收缩。,孩子把一张考砸的卷子拿给你看时，你真实的第一反应是？（不是你「应该」有的反应）,源自文本集H-01
H-E10,事件卡,黄,日常·真实,私人数据区状态异常,成年样本经过幼年样本的休息舱，发现舱门紧闭，内部传出无法识别的对话声，疑似正在进行远程通讯。门把手已从内侧固定。,孩子把房间门关上、好像在跟谁聊天、你不知道他在干嘛时，你真实的反应是？,源自文本集H-02
H-E11,事件卡,黄,日常·真实,屏幕依附超时,幼年样本已与发光设备保持连接超过约定时长。多次「该停了」的信号未获响应，样本以「马上」「还有一局」「等一下」作为延迟策略，眼睛始终未离开屏幕。,孩子打游戏/看手机超时了、叫了好几遍都马上马上不停时，你真实的反应是？,源自文本集H-03
H-E12,事件卡,黄,日常·真实,夜间归巢延迟,成年样本结束劳作返回居所的时间显著晚于常态。推门时居所已安静，幼年样本可能已休眠。成年样本在玄关站立片刻，未立即进入内部。,你加班很晚回家、孩子可能已经睡了、站在门口那一刻，你心里在想什么？,源自文本集H-05
H-E13,事件卡,黄,日常·真实,沟通通道单方面关闭,成年样本尝试与幼年样本交流，得到的回应为单字节信号——「嗯」「还行」「没事」「不知道」。信息密度趋近于零。成年样本试图追问，通道进一步收紧。,孩子越来越不爱跟你说话、问什么都还行没事时，你真实的反应是？,源自文本集H-06
H-E14,事件卡,黄,日常·真实,初次对抗升级,在某次争论中，幼年样本以一种不再是幼崽的语气顶了回来：音量提高，眼神没有躲避，话语里带着边界。成年样本一时沉默——这个反应本身让双方都有些意外。,孩子第一次真的顶了你、而且你当时没法立刻反驳时，你真实的反应是？,
H-E15,事件卡,黄,日常·真实,未申报欺骗事件,幼年样本声称已完成某项任务或去了某处，但来自第三方的信息显示情况并非如此。成年样本正在权衡是否、如何、何时提出这件事。,发现孩子骗了你、而且他还不知道你已经发现时，你真实的反应是？,
H-E16,事件卡,黄,日常·真实,未申报社交圈扩张,成年样本注意到幼年样本近期出现若干陌生名字，被频繁提及但成年样本对他们一无所知，且幼年样本明显不愿意介绍。,孩子突然有了你完全不认识的新朋友圈、不愿意告诉你时，你真实的反应是？,
H-E17,事件卡,黄,日常·真实,成绩意外下滑,幼年样本的量化成绩记录显示，过去两个月评估数据较前期下降约15-20%。幼年样本表示不清楚原因，也不确定如何改变。,孩子成绩突然变差了、他自己也说不清为什么时，你真实的反应是？,
H-E18,事件卡,黄,日常·真实,参数设置谈判僵局,为了某项规定（手机使用时长/回家时间/零花钱额度），幼年样本与成年样本的合理预期存在显著差异。双方均认为自己的立场具有充分依据，谈判陷入僵局。,关于手机/回家时间/零花钱这些规定，孩子觉得不合理而你觉得必要、谁也说服不了谁时，你真实的反应是？,
H-E19,事件卡,黄,日常·真实,校内事件未公开,成年样本从第三方渠道（老师/其他家长/孩子同学）得知，幼年样本在校期间发生了某件事。幼年样本回家后完全未提及。,孩子在学校出了点事、你是从别处知道的、但孩子对你只字未提时，你真实的反应是？,
H-E20,事件卡,黄,日常·真实,教师专项约谈,成年样本收到班级教师的联络请求，内容涉及幼年样本的行为表现或学业状态，需要家长参与讨论。约谈原因尚不明确。,接到老师消息说要谈谈孩子的问题时，你第一反应是？,
H-E21,事件卡,黄,日常·真实,家庭活动拒绝,成年样本计划并准备了一次家庭共同活动，征询幼年样本意见时，幼年样本明确表示不想参加，理由是「想一个人待着」或「有别的事」。,你精心安排了家庭活动、孩子却说不想去时，你真实的反应是？,
